"lat"	"lon"
48.1	11.5
53.6	10
49.2	8.1
52.5	13.5
53.2	10.3
50.3	9
51.9	8.6
47.6	12.4
53.5	10
53.6	10.2
53.5	10.5
54.1	9.9
54.1	10.9
50.7	7.4
51.1	6.6
51.1	6.6
51.1	6.6
51.1	6.6
51.1	6.6
51.1	6.6
50.9	6.9
50.9	6.9
52.5	13.4
52.5	13.3
49.3	7.4
51.3	6.5
52.3	13.3
49.9	8.2
52.5	13.1
53.1	8.2
49.2	7
50.9	9.8
50.1	8.7
52.3	9.3
50.2	8.5
53.1	8.2
48.1	7.6
48.1	7.6
49.3	8.5
49.1	10.9
48.6	8
49.9	9.6
54.3	9.7
50.7	8.1
53.5	10.1
52.7	8.2
52.2	8.2
49.4	8.4
50.1	8.7
53.6	10.2
52.2	7.8
47.8	12.1
52.3	14
50.5	9.6
50.5	9.6
49.3	11.2
52.4	13.4
52.5	13.4
51.3	9.3
50.9	6.1
48.7	9
51.4	8.5
49.3	11.1
49.2	10.4
48.1	11.5
52.6	13.1
50.7	7.9
48.4	12.9
48.5	12.9
53.2	10.3
48.1	11.2
49.6	11.2
49.2	11.2
48.6	7.9
52.5	10.8
52.3	9.8
50.1	9.8
48.6	9.4
49.9	10.9
48.1	11.6
51.6	7
47.5	9.9
48.8	12.5
48.8	12.5
48.8	12.5
53.6	10
50.8	7.3
48.3	10
48.8	8.9
50.7	6.8
49.3	7.6
48.5	9
50.1	7.3
47.5	9.5
50.6	7.1
48.8	9.2
48.5	9.2
52.6	8.7
48.3	10.1
53.5	9.9
48.9	8.2
52.4	7
48.3	14.3
48.2	10
52.2	10.3
49.1	8.4
49.1	7.7
52.5	13.3
47.6	9.5
49.4	8.4
48.1	11.6
49.7	9.9
50.9	6.9
50.8	8.7
50.9	6.9
48.1	11.6
48.1	9.4
49.4	10.7
48.1	11.8
48.9	11.4
49.4	8.6
48.7	9.1
47.8	12.1
52.2	10.2
48.7	10.7
49.2	11.3
48.8	10.2
49.4	11.1
48.4	9.9
48.9	9.4
48.8	8.8
49.9	9.2
47.7	12.1
48.3	10.8
47.9	11.4
47.9	11.4
47.9	11.4
48.2	9.9
49.7	12.1
48.2	12.6
48.2	10.9
48	8.6
49.5	10.9
49.6	11
50.1	8.5
50.7	7.1
49.7	8.1
49.3	8.6
47.6	11
47.9	11.4
48.5	11.2
52.3	10.2
52.5	10.3
50.9	10.3
47.6	9.1
47.8	11.9
48	11.8
52.6	13.6
53	8.8
53.4	10
53.1	8.7
51.4	6.9
53.7	10
48.3	9.9
48.8	11.4
52.6	7.3
48.8	9.2
47.8	11.1
48.1	11.2
50.7	6.8
47.7	10.2
48.1	11.8
52.4	10
52.4	10
48.8	13
48.3	13.3
53.4	10.3
50.4	9.7
48	11.6
49.6	9.2
48	11.5
47.6	11.5
50.9	12.8
52.5	13.4
52.1	8.4
52.5	13.4
52.5	13.4
52.5	7.3
52.5	7.3
48.1	11.5
51.1	6.8
50.7	7.1
50.7	8.5
49.8	8.5
51.5	7.1
48	9.3
50.8	8
54.7	9.3
52.4	13.4
47.1	13.1
47.1	13.1
47.1	13.1
47.1	13.1
47.8	11.1
50.6	9.7
53.5	10
52.3	13
48.2	9.8
52.2	8
52.5	13.3
51.4	6.8
51.4	6.8
53.6	10.2
52.4	13.4
53.5	9.9
51.4	6.7
49.3	11.2
52.5	13.3
51.7	7.8
47.6	9.1
47.6	9.1
48	7.8
52.4	9.7
51.2	6.7
52.5	13.5
52.3	8
50.5	8
51	13.7
52.4	9.7
52.7	8.7
48.9	10.1
53.1	8.1
50.5	6.6
50.4	8.6
51.5	7.4
51.3	12.3
48.6	12.2
50.2	12.2
48.2	11.4
49.7	12.2
52.1	9.2
52.9	13.2
52.9	13.2
51.5	9.9
50.5	7.5
48.7	9.1
48.7	9.1
48.7	9.1
48.3	9.9
49.2	9
48.9	8.3
48.3	11.7
51.3	7.3
49.1	11.7
49.1	11.7
49.1	11.7
48.4	10.8
48.1	11.6
48.6	9.3
48.1	11.6
49.2	9
48.4	12.9
48.4	12.9
48.4	12.9
47.5	10.6
51.5	9.9
52.5	13.4
48.7	9.2
48.7	9.1
52	8.5
50.1	7.5
52.5	13.4
51	7
54.4	9
50.3	10.2
53.6	9.8
51.3	12.3
52.4	13.3
51.3	6.8
49	10.5
48	11.9
49.4	8.7
47.6	9.5
54.3	9.9
47.3	11.1
49	12.1
49.4	11.1
51.1	7.2
49.5	12.1
49.5	12.1
49.9	8.5
48.8	8.7
49.6	8.2
47.7	10.3
53.3	7
49.8	9.1
52.5	13.3
52.3	9.7
48.7	9.1
48.9	8.4
48.7	8.1
52.5	13.3
49.3	8.7
53.7	9.6
50.7	8.2
54.3	9.1
47.7	10.3
48.9	8.7
53.6	10.2
52	7
48.1	11.6
48	11.7
48.9	12
48	11.3
48.5	9.2
52.2	7.7
51.2	9.4
53.4	9.5
53.5	10
52.1	11.6
53.8	8.6
54.3	10.1
50.3	11.9
52.3	9.8
52.3	9.8
53.5	10
49.2	10.6
50.8	10.9
51.1	6.4
51.1	6.4
49.7	12.1
50	8.6
51.4	7.1
49.4	8.8
52.3	9.7
51.5	11.8
52.3	9.7
51.2	8.6
53.5	10.1
51.4	6.9
51.4	6.9
49.4	7.7
50	8.6
53.5	9.7
53.5	9.7
48.8	9.1
48.9	9.1
53.5	13
50.4	7.6
53.1	8.7
49	8.3
48.3	11.5
53.1	8.1
50	8.6
52.6	13.1
48.8	9.3
51.7	6.1
51.7	6.1
52.4	9.7
50.9	6.9
52.1	14.6
51.8	9.4
53.1	11.9
50.7	7
52.5	13.2
49.4	10.9
53.4	9.6
50.7	6.1
52.4	13.3
52.4	13.3
50.6	12.1
50.6	12.1
53	8.8
51.6	7.1
51.1	6.9
48.7	9.3
52.2	7.4
51.2	6.5
52.4	10.7
53.8	11.6
51.2	6.8
54.4	11.1
49.1	10.9
52.2	11.6
51.9	8.8
51.9	8.8
49.4	7.7
49.1	10.9
53.5	8.5
48.1	11.4
52.8	13.8
49.5	6.1
47.6	10.2
47.8	11.1
50.9	7
51.7	14.3
51.1	6.9
51.6	7.2
52.2	10.2
48	9.1
53.6	10.1
48.7	9.1
52.8	10
47.7	9.6
48.7	9.1
48.3	11.7
48.1	12.4
53.5	10
53.1	10.8
53.5	9.9
48.6	13.4
52.4	13.4
47.7	12.9
53.6	9.8
50.9	6.9
48	9.8
48.9	9.2
49	9.8
51.1	12.4
48.1	8.2
51.3	13.2
48.1	11.5
54.3	10.1
51.3	6
52.3	9
52.2	7.4
48.2	10.3
47.8	11.9
51.3	6.7
51.8	9.4
52.2	7.9
52.3	8.9
49.8	8.6
49.8	8.6
48.9	12.4
48.6	9.3
48.1	11.4
48.3	10.9
49	8.3
49.3	8.9
50.8	6.8
50.6	7.1
52.1	10.3
54.7	9.4
53.9	10.8
50.4	7.5
48.1	11.8
48.1	11.8
53.5	10
50.8	5.9
51	13.1
51.2	11.8
51	13.1
51.6	6.9
48.1	11.6
53.4	10.9
54.1	12.1
50.7	6.1
51.1	7.1
49.7	11.1
48.9	8.6
50.1	8.9
53.7	7.1
47.5	11
47.9	7.6
51.3	6.7
51.6	9.2
53.5	9.9
51.2	6.6
50.8	12.9
49.2	10.4
52.9	12.3
49.7	9.9
51.5	8.2
48.4	11.9
48.4	11.9
51.7	14.3
51.2	7.6
47.5	11.2
51.3	6.7
51.6	9.9
48.1	11.6
49.8	11.8
48.2	9
48.8	9
48.6	8.1
48.1	11.5
52.1	9.3
50.1	8.6
52.2	9.4
53.6	8
48.6	9.6
54	11.9
54	11.9
54	11.9
52.9	9.2
51.7	8.7
48.8	9.1
49.6	8.6
48.7	9.3
51.4	12
53.6	9.7
52.1	8.7
52.2	7.6
49.5	8.3
49.4	11.8
51	13.8
48.1	13.8
50.6	7.1
51.4	6.8
51.1	13.7
50.6	7.1
51.5	9.9
53.1	12.3
52	10
53.5	9.8
54.8	9.4
47.5	10.2
52.6	10
48.7	8.7
51.9	7.5
49.8	8.6
50.7	8.2
48.2	8.4
48.2	8.4
50.7	7.2
53	7.3
48.2	10.6
50	8.6
52.2	8.9
50.6	7.1
51.8	10.7
52.4	7.8
53.4	8.6
51.8	6.6
50.1	8.7
49.5	11
50.9	10.9
47.8	11.1
53.6	9.7
49.6	8.6
51.4	7.4
51.4	7
47.8	12.1
54.1	8.8
52.7	13.3
52.3	13.5
52.5	13.2
52.4	13.3
49.8	8.6
49.8	8.6
53.5	10
47.8	9.6
47.5	7.7
51.4	6.7
52.2	8.7
53.3	13.8
49.2	9.5
52.1	8.6
52.7	8.9
52.5	13.4
50.9	9.8
51.8	11
53	9.1
48.6	11.4
50.4	7.3
51.5	7
51	8.9
53.6	10.2
50.6	8.4
49	8.3
49	8.4
47.6	9.5
51.1	7.1
51.7	8.7
49.4	7.7
49.1	11
52.5	13.4
53.5	10
52.6	10
52.6	6.7
48.1	11.6
48.1	11.6
49.4	10.3
52.4	13.3
52	8.5
52.3	9.8
49.1	9.2
50.1	8.6
53.5	9.9
52.5	13.4
51.3	7.4
48.1	11.5
49.4	8.5
54.3	10.1
52.5	13.3
53	8.8
48.6	9.1
52.5	13.4
51.2	6.7
51.3	12.3
52	8.4
49.5	8.5
53.7	9.3
53	8.8
48.5	12.1
48.5	12.1
53.4	10.2
48.5	7.8
48.2	10.6
47.7	12.3
51.4	9.8
52.4	13.3
50.4	7.4
52.7	8.2
50.8	10.9
51.5	7.9
51.5	7.9
47.7	9.5
50.7	8.7
48.2	11.4
50.9	6.9
51.3	6.8
50.6	7.1
51.3	9.5
51.4	6.8
48.8	9.3
50.7	7.1
48.3	11.7
51.4	7.1
48.7	9.1
54.3	10.1
52.3	9.7
51.4	7.2
51.4	7.2
50.8	6.1
48.6	9.2
48.8	8.8
51.2	6.8
50.7	7
51.3	9.4
51.9	8.8
50	8.6
50	8.6
50.9	6.9
51.4	7.3
50.9	6.3
51.9	8.4
50.9	6.9
50.9	6.9
50.9	14.1
51.1	7.2
51.1	7.1
47.8	12.1
47.8	12.1
47.8	12.1
49	9.6
49.9	9.8
47.8	11.1
50.7	12.6
52	9.4
48.7	9.3
53.6	10.1
53.6	10.1
53.8	10.6
51.9	8.7
53.5	6.6
49.2	12
48.7	11.3
48.4	10.9
52.4	13.3
51.3	6.5
53.3	10.4
52.3	12.6
48.1	11.5
48.1	11.6
51.3	6.2
52.4	13.3
53.9	10.7
54.7	9.6
53.8	10.6
52.3	10.2
50	8.4
53.8	9.9
49.9	9
50.6	10.6
50.7	9.2
50.5	9.6
50.9	7.3
48.8	9.2
50.1	8.2
48.1	11.5
48.7	11.9
52.9	9.9
52.3	14
48.8	10.3
51.3	8.5
52.5	13.4
52.5	13.4
53.5	9.9
54.1	9.1
51.2	6.7
49	12
52.8	8
51	12.5
52.4	13.3
50.1	8.6
49.2	6.9
51.7	7.1
47.6	10
49.3	8.5
51.4	6.9
49.4	7.4
48.3	7.9
52.3	9.9
53.5	9.9
52.5	13.5
50.8	10.9
50.7	7
52.3	9.8
48.9	9.1
50.4	7.6
50.1	8.6
52.5	13.3
52.5	13.3
50.7	7.4
51.1	6.8
52.4	8.4
50.1	8.6
49	9.1
50.8	8.7
50.9	6.9
47.8	12.1
50.1	8.6
49.1	12.1
50.9	6.9
48.3	10.3
51.4	7.5
54.3	10.1
49.3	7
49.6	8.3
52.7	8.9
53.5	10.3
49.6	7.8
50.4	7.4
50	8.2
48	10.8
52.4	13.6
52.2	8
51.3	6.5
51	7.9
51.4	7.2
47.8	10.6
47.7	10.6
47.7	10.6
48.1	11.5
51.5	7.1
50.6	7.2
50.6	7.2
52.6	9.2
52.6	9.2
49.1	8.7
49.1	8.7
50.9	6.6
53.2	10.3
50.8	7.9
51.3	7
49.3	8.5
50	8.4
49.5	9.7
52.4	13.3
51.4	7.5
51.1	7
51.4	11.9
53.5	9.9
50.4	7.8
52.5	13.3
52.5	13.3
53.5	9.9
48.6	10.2
53.5	9.8
49.1	9.6
52.7	8.2
51.4	6.7
50.9	8.4
51.4	7.1
51.4	7.5
52.4	13.3
50.9	6.8
51.4	7.2
51.4	6.7
51.4	6.7
54.7	9.4
51.3	8.1
53.2	9.5
52.3	10.9
51.6	8.3
51.7	8.6
48.7	9.3
53.5	10
50	10.2
52.4	10.7
50	11.9
51.3	7.3
48.6	9.4
49.3	6.7
47.8	11.9
47.7	9.6
51	7.8
53.2	8.7
48.7	9.2
50.2	7.5
50.8	12.9
52.5	13.3
53	8.8
52.3	8.3
52.4	13.2
52.5	13.4
52.5	13.4
49.5	8.5
50.4	8
50.4	8
51.5	6.2
48.1	12.4
49.6	7.8
48.6	11.5
49.3	8.6
51.4	7.2
48.2	10.1
49.2	8.6
48.5	9.7
51.9	7.6
51	7.8
50.8	7.8
48.4	9.8
49.4	7.7
48.8	8.4
49.4	8.5
51.3	7
52.3	13.3
49.7	6.6
52.6	8.2
50.3	9.9
51.2	7.2
51.2	7.2
51.3	12.3
53.6	10.1
53.6	10.1
50.9	6.6
53.3	7
50.1	8.4
50.2	8.9
51.7	8.6
51.1	6.7
52.2	10.5
53.8	9.9
52.5	13.3
52.5	13.3
51.6	13.8
52.6	13.3
49	12.1
49.8	8.5
48.7	9.3
47.6	9.1
47.9	11.9
53.6	10
51.4	9.1
51.4	9.1
48.8	9.1
53.5	9.8
53.8	10.1
48.8	9
49.4	8.6
48.7	9.3
51.4	7
53.6	9.9
53.5	9.9
53.5	10
51	7.5
51.8	8.3
48.5	10.4
49.3	6.7
53.6	10
48.7	9
48.7	9
53.6	10.1
53.5	9.9
50	8.3
53.5	10
53.5	10
53.8	8.7
49	8.3
51.1	6.6
53.4	10.2
49	9
52	8.5
53.5	9.9
53.3	9.9
48.8	9.3
48.6	9.5
53.5	10
53.5	11
51.1	6.8
50.6	7
49.6	6.4
50	8.2
53.4	10
53.7	9.7
49.5	8.3
53.5	10.1
53.6	9.4
49.4	8.4
48.5	9.9
48	7.7
53.5	10
49.9	8.4
48.5	11.7
49.2	6.9
49.4	8.3
53.6	10
50.9	7
53.6	10
52	9
52	9
47.6	9.4
49.4	8.4
53.5	10.1
49.5	8.4
49.4	8.7
53.5	9.4
48.8	8.2
53.6	10.1
50.8	6.9
50.1	12
48.3	9.9
53.5	9.6
53.4	9.8
53.7	9.6
48.8	9.1
49.3	8.5
53.5	9.9
53.5	10
53.5	9.9
53.6	10
53.9	9.5
49.4	7.7
48.3	8.7
50.9	7.9
50.9	7.9
49.6	8.4
53.6	9.9
53.6	9.9
53.5	10.4
50.4	7.4
53.5	10.1
53.8	9.8
53.5	9.9
53.6	9.8
48.8	9.1
48.6	9.7
49.7	6.5
50.9	7
53.5	10
53.5	9.9
49	8.4
53.6	10.2
53.6	10
48.8	9
49	8.4
51.2	6.9
53.5	10.1
53.5	9.9
49.1	9.2
50.8	7.1
49.2	8.4
49.2	8.4
49.2	9.3
53.6	9.9
48.8	9.2
53.3	10.1
50.9	7
53.5	9.9
48.2	10.1
53.5	10
49.4	7.8
53.8	9.9
53.7	9.6
53.8	9.9
53.4	9.8
53.6	10.1
53.5	10.1
48.8	9.3
53.5	9.9
53.5	10.1
48.5	9.4
49.2	7
53	9.9
53	9.9
53.6	10
50.9	7
48.1	11.2
50.9	7
53.6	10
48	8.7
48	8.7
53.5	10
48.8	9.2
48.8	9.1
49.5	8.5
53	10.5
53.2	10.6
53.5	9.9
53.5	9.9
53.5	9.9
53.5	9.9
53.2	10.6
50.3	11.9
51.2	6.8
52.4	13.1
53.6	13.3
52.4	13.7
52.6	7.2
49.9	9.1
51	12.4
51.1	13.7
50.4	12.1
49.1	9.3
49.1	9.3
51.4	6.9
49.5	8.6
49.9	8.8
48.3	9.9
48.3	9.9
50.7	6.7
49.4	7.1
48.2	9.6
49.1	9.1
49.3	8.5
50.9	6.9
48.9	8.8
50.1	8.3
51	7
50.9	6.5
50.9	6.7
49	8.6
49.9	8.2
50.9	12.8
48.8	9.1
49.9	9
50.5	8.2
49.6	8.5
50.3	8
50.8	7.8
50.7	8.1
49.9	9.1
50.2	9.3
49.8	8.6
49.6	6.7
48.7	9.1
49	9.2
49.7	7.5
48.7	9.6
48.6	9.8
50.9	7.1
48.6	9.6
48.6	9.6
47.9	8.3
50.4	7.8
50.3	8.7
49.3	8.2
50.8	6.9
48.7	9.1
50.9	6.8
49.9	9
50.7	7
50.9	6.9
48.7	9.1
48.6	9.6
48.7	10.1
49.2	8.7
49.3	6.6
50.4	12.1
50	8.1
51.7	12.4
48.1	11.6
51.5	7.4
53.9	10.8
52.5	7.2
51.9	7.6
48.2	11.6
52.5	13.8
49.8	8.6
50.5	8.4
51.3	12.2
54.1	10.5
52.6	9.2
54.1	10.4
50.2	9
53.8	9.9
53.5	9.9
52.4	13.2
52.5	13.2
52.3	13.2
53.3	12.5
48.7	9.1
49.7	10.8
47.7	8.9
52.4	13.3
52.5	13.4
51.5	6.2
48.1	12.7
50	8.4
47.9	11.2
53	8.8
48.1	11.5
54.3	8.6
51.3	12.3
51.1	10.1
53.8	10.6
51.1	6.8
51.3	12.3
50.7	8.1
48.1	11.5
48.6	9.1
47.8	11.1
48.1	10.7
48.5	9.2
53.5	9.9
48.1	10.8
48.2	9.8
50.1	8.7
50.6	5.8
47.6	9.1
52.5	13.2
47.4	11.2
53.1	7.5
48.3	12.2
52	7.6
52.2	8
49.6	10.1
54	13.1
54	13.1
51.8	7.7
48.8	8.8
51.5	6.9
52.4	13.2
48.7	10.7
50.7	6.5
51.2	6.7
52.1	9.3
48.2	10.1
52.4	9.5
53.5	10
47.5	9.6
51.5	7.6
50.8	6.8
52.6	13.6
53.1	8.1
49.2	8.5
49	8.7
53.2	8.1
49.9	8.6
52.4	13.3
52.4	13.2
52.7	8.9
48.6	9.1
49.6	10
50	7.7
50	8.4
50	8.4
49.7	9.9
50	8.6
49.8	8.2
48.6	10.1
51.2	7.6
51	6.1
48.9	11.8
49.8	9.9
49.9	8.1
49.2	9.1
52.4	13.4
53	8.8
52.5	13.5
49.8	7.9
49.6	8.3
48.7	9.6
49.6	10.1
48.8	9.2
49.3	8.3
49.4	7.7
53.5	8.5
49.5	8.3
49.8	9.8
50.4	7.5
49.8	8.6
49.9	9.9
51.3	7.4
51.3	7.4
51.9	7.9
50.9	6.9
48.7	9.1
49.7	9.7
48.5	12.1
50	10.2
52.4	13.4
50.2	7.5
53.5	8.5
50.8	6.9
49.9	6.5
48.8	8.5
48.3	10
48.7	9
52.4	13.3
52.5	13.2
49.4	7.7
50.2	6.6
49.4	8.4
50.8	7.1
54.2	10.2
49.6	8.4
49.8	8.6
50.8	6.8
53	8.6
52.4	13.5
50	10.1
49.8	9.9
50.8	8.7
50.1	8.2
48.7	8.9
48.8	9.5
50.8	6.8
48.6	9.3
51	7.5
50.3	7.6
49.1	8.5
52.9	9.3
50.4	7.5
51.9	7.9
50.6	7.1
49.4	10.9
52.4	8.9
51	13.5
47.5	7.9
51.4	7.2
49.2	8.7
48.4	10.1
50.3	8.7
49	8.3
50.9	11
50.7	6.7
52.2	13.7
52.5	13.4
51.5	9.9
47.9	7.8
50.7	6.1
53.8	9.9
51.5	7.3
50	8.7
49.1	11.2
48.8	8.6
48.1	11.8
48.1	11.5
52.5	13.3
50.2	11.3
48.6	9
51.3	12.3
51.3	7
49.9	8.3
52.8	12.8
49.9	8.1
49.2	6.9
48	11.4
48.7	9
48.7	9
53.5	7.3
52.6	13.3
49.2	6.9
49.9	11
50.3	7.5
51	9.6
51.9	7.7
48.8	9.3
53.5	8
52.1	7.2
52.4	13.4
48.1	11.5
50.8	8.4
49.5	10.8
48.8	12.9
51.4	7.5
51.7	6.5
51.5	7.3
51.9	8.6
50.8	10
51	13.8
51	13.8
51.2	6.8
47.5	7.9
52.9	11.9
51.4	7.4
54.1	9
51.2	10.9
51	13.7
50.9	6.7
48	11.4
49.7	10.1
51.5	7.3
48.1	11.3
52.6	13.6
48.1	11.9
49.7	11
52.5	12.9
51.8	8.3
51.6	6.1
51.6	6.1
51	9.6
53.8	10.6
53.5	12.6
51.5	9.9
50.1	8.6
52.4	13.4
51.3	14
48	7.8
49.6	11.4
47.9	7.8
51.5	7.2
50.7	7.1
51.4	7.2
50.9	7
48.8	8.2
52.4	13.4
49.9	8.5
51.4	6.9
51.1	6.4
50.4	13
49.1	12.3
48.3	10.8
50.3	8.6
50.9	6.6
50.6	7.1
52.3	10.7
48.1	8.5
50.7	7.1
52.6	10
53.5	10
53.5	10
49	10.9
51.9	8.6
53.7	9.9
53.7	9.9
53.5	10
47.5	9.6
47.1	11.6
48.5	9
51.2	6.7
50.8	7
52.4	13.3
53.5	10
52.4	9.8
51	6.4
51.2	6.8
51	6.8
50.9	6.9
51.2	7.9
50.9	7.5
52	8.8
52	8.8
51.1	6.7
51.2	6.7
52.6	9.7
51.5	7.4
50.6	7.1
51.3	6.9
50.8	6.1
53.8	9.9
53.8	9.9
50.6	7.1
52.4	13.3
49.9	8.9
52.4	13.3
53.2	8.5
51.2	6.8
48.2	12.6
50.1	7.4
49.7	9.7
53.9	10.5
51.8	10.6
53.5	10
52.5	7.3
51.4	7.7
53	5.7
49.2	9
49.1	9.1
53.1	8.9
50.4	7.5
51.2	6.7
49.5	8.1
49.5	8.1
49.1	9.2
49.4	11
48.8	8.6
48.8	8.6
48.8	13.2
50.1	7.6
48.8	9.8
48.5	9.4
53.4	7.8
52.4	13.5
51.2	10
48.7	9.1
51.4	14
49.1	7.8
49.6	6.6
51.9	7.6
51.7	9.4
54.1	9.4
48.1	11.5
52.4	13.3
54.7	9.4
53.5	7.4
48.7	9.2
48.3	11.7
48.7	9.3
52.3	9.7
50.3	7.3
49.1	9.2
49.4	10.9
49.3	11.3
49.9	8.1
50.8	12.4
47.7	9.5
53.6	10.6
50.9	7.5
52.4	13.3
49.2	9.2
50.1	8.6
49.5	8.2
52.5	13.3
52.2	7.6
48.3	11.8
49.5	10.1
53	8.8
51.3	6.9
51.3	6.9
52.5	13.3
51.2	6.7
48.5	8.5
47.9	8.8
50.9	6.2
50	14.4
50.9	12.8
51.3	12.3
51.5	7
52.4	9.8
49.4	8.7
48.1	9.4
48.1	11.3
52.2	11.9
53	11.7
47.7	9.4
47.7	9.2
50	8.4
49.2	10.5
51.7	12.4
51.7	12.4
51.6	6.2
51.4	7.3
52.4	13.2
52.4	13.5
49.6	6.5
51.5	7.9
52.2	7.5
52.7	12.8
50.9	7
52.5	13.3
53.1	9.8
52.9	12.8
52.8	13.6
52.8	13.6
52.8	13.6
51.3	10.8
52.4	13.3
49.7	6.7
51	11.6
51	11.6
49.4	11.2
47.8	12.8
48.1	12.4
48	11
47.8	12.6
48.5	12.2
50.9	11.8
48.6	8.1
48.6	8.1
48.6	8.1
49.9	11.8
48	11.7
52.3	13.4
50.9	7.2
50.9	7.2
51.8	8.5
53.6	9.8
54	11.6
48.2	10
54	12.1
54	12.1
48.3	9.1
48.1	11.5
52.2	7.1
49.3	11.9
48	10.8
52.4	10.5
48.4	11.1
48.3	11
53.9	10.7
54.3	10
54.1	10.9
51.1	10
48.6	10.5
51.4	7
53.9	10.5
48.5	11.5
49.3	11
49.4	11
48.7	9.1
52.3	8
52.5	10.1
49.3	16
50.1	12.1
49.4	8.4
53.7	9.6
49.6	9.8
48.3	10
47.9	10.1
50.2	10.9
48.1	11.3
49.7	6.7
48	10.2
50.2	11.1
49.9	11.6
53.1	8.2
48	8.4
50.1	8.7
51.4	7.4
49.7	9.9
49	8.3
50.8	12.8
51.7	11.1
47.9	9.5
48.1	11.6
52.2	8.9
49.8	6.7
50.7	11
49.4	11
51.4	11.9
50.8	9.7
50.8	9
51.5	7.2
51.1	11.4
50.6	11.7
51.1	6.7
50.7	6.9
50.7	6.9
48	11.7
48	11.7
49	12.1
52.6	8.1
52.4	13.3
49.2	9.2
48.4	10.8
48	11.5
47.1	10.4
52	12.6
52.3	13.5
48.9	8.4
52	11.5
48.3	15.5
52.2	10.3
49.2	8.6
48.3	11.9
48.3	11.9
53	8.6
53	7.8
51.8	11.2
48.6	9.7
52.4	9.5
49.4	8.4
51.5	7.4
51.2	6.7
48.1	7.8
50	8.2
53.4	9.9
52.3	13.4
50.7	6
50.7	6
50.3	8.1
53.5	9.9
51.7	12.4
50.9	6.9
51.3	8.2
51.5	7.4
50.7	6.1
52.2	10.4
51	6.1
51	6.1
54	11.4
51.2	6.7
53.3	7.9
47.8	12.6
49.4	10.9
52.2	7.6
50.8	8.7
52.4	13.4
52.4	13.2
52	8.6
51.7	6.1
50.9	9
51.1	6.8
48.9	8.2
51.7	7.6
51.3	7.4
52	8.6
51.5	6.7
51.6	8.3
51.4	6.8
51.5	7.7
51.5	7.7
51.5	7.7
51.5	7.7
51.7	7.9
51.6	7
51.4	6.6
52	8.7
51.1	6.9
51.2	6.2
51.2	6.1
51.3	7.2
51.6	6.1
51.6	6.1
51.2	6.8
51.6	7.8
51.6	7.8
47.7	9.8
51.2	6.6
51.1	6.3
51.1	6.3
51.3	12.2
52.1	14.6
49.4	10.9
54.6	9.4
51.5	7.5
51.5	7.5
54.6	9.7
54.6	9.7
49	8.3
49.2	7
50.2	7
52.7	13.1
52.7	13.1
50.3	8.2
50.6	12.4
51.8	9.6
50.8	12.9
51.3	12.3
50.3	12.7
51.3	9.4
52.4	13.3
52.4	13.6
52.4	13.3
49.6	12.1
51.4	7.1
52.5	13.3
54.1	11.8
49.8	8.3
53.5	9.9
54.7	9.4
51.9	8.7
47.9	7.8
49.5	8.2
52.5	13.4
49	11.8
53.2	10.3
49.1	9.7
50.8	7.4
50.9	6.9
49.9	7.8
53.5	10.1
48	10.7
51.1	6.6
53.8	8.6
49.7	10
50.5	7.1
52.6	9.9
53.1	11.2
47.7	8.7
51	13.8
50.1	8.6
47.5	7.9
51.4	6.6
50.8	7.1
49.9	8.5
49.4	8.4
48.7	9.2
51.2	6.7
51	13.7
53.2	10.4
51.7	6.1
53.5	9.9
48.8	9.3
53	8.8
48.6	9.3
49.4	10.9
51.8	6.7
52.5	9.7
52.5	9.7
51.5	7.4
48.7	9.1
48.1	11.5
51.3	7.6
53	8.5
50.9	11.5
53.2	7.5
54	9.9
47.7	11.5
50	7.1
52.4	9.1
53.4	9.9
52	8.6
54	12.1
53.8	10.7
52.2	10.1
49.9	8.3
52.2	8
52.1	9.7
53.5	12.7
52.4	13.2
53.8	10.6
53.5	10.1
51.4	7
52.5	13.4
53.2	7.6
53	5.8
48.8	10
52.2	10.5
49.3	8.1
49.3	8.1
50.3	7.9
53.1	9.8
52.4	13.3
51.1	12.6
49.9	6.2
47.8	12.1
51.3	7.3
51.3	7.3
48.7	11.4
50	8.2
52.4	13.3
49.9	8.2
51	13.7
51.5	7
51.4	6.7
51	13.7
52.5	13.4
53.2	14.3
52.3	8.1
53.5	10.2
54.1	10
53.3	11.8
50.9	11.3
50.7	7.3
54	13.3
52.5	13.3
48.3	10
48.8	13.3
48.7	8.1
48	8.5
48.2	9.8
47.7	9.4
47.7	9.4
47.4	9.7
48	8.7
47.8	12.9
48.1	12.5
47	11.4
48.1	10.2
49.9	8.2
48.2	9.8
49.2	10.7
54	9.6
54	9.6
49.2	7.1
51.4	11
52.5	13.1
52.5	13.4
52.5	13.4
52.5	13.4
47.4	10.2
48.7	8.7
53.1	7.6
51.9	7.1
50.3	7.5
52.4	13.3
52.4	13.3
51.4	6.2
47.2	11.2
51.3	7
48	8.5
54.7	9.4
50.7	7
53.6	11.4
52.7	13.4
51.7	14.6
51.1	6.2
49.3	6.7
52.4	9.6
50.9	6.9
52.5	13.6
52.5	13.6
53.5	9.9
50.7	7.2
53.2	15.6
50.6	7
48.1	8.5
49.9	8.2
49.7	6.6
50.9	6.9
49.1	10.2
50.9	6.7
52.6	8.2
52.6	8.2
52.2	8.9
48.1	11.4
54.3	13.7
51	6.9
52.6	12.8
